wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath
413,384.964301,389,0.000000,scan_blocks_output/B2_0411_0450/00001_0413nm.npy
415,386.057711,389,1.093410,scan_blocks_output/B2_0411_0450/00002_0415nm.npy
417,387.857635,389,2.893334,scan_blocks_output/B2_0411_0450/00003_0417nm.npy
419,392.657080,401,7.692778,scan_blocks_output/B2_0411_0450/00004_0419nm.npy
421,394.281244,402,9.316943,scan_blocks_output/B2_0411_0450/00005_0421nm.npy
423,397.396030,406,12.431729,scan_blocks_output/B2_0411_0450/00006_0423nm.npy
425,398.705227,406,13.740926,scan_blocks_output/B2_0411_0450/00007_0425nm.npy
427,400.861547,406,15.897245,scan_blocks_output/B2_0411_0450/00008_0427nm.npy
429,402.494533,406,17.530232,scan_blocks_output/B2_0411_0450/00009_0429nm.npy
431,407.078095,418,22.113794,scan_blocks_output/B2_0411_0450/00010_0431nm.npy
433,408.603300,418,23.638999,scan_blocks_output/B2_0411_0450/00011_0433nm.npy
435,410.426570,418,25.462269,scan_blocks_output/B2_0411_0450/00012_0435nm.npy
437,411.698073,418,26.733772,scan_blocks_output/B2_0411_0450/00013_0437nm.npy
439,413.377283,418,28.412982,scan_blocks_output/B2_0411_0450/00014_0439nm.npy
441,416.482985,423,31.518684,scan_blocks_output/B2_0411_0450/00015_0441nm.npy
443,417.678252,423,32.713951,scan_blocks_output/B2_0411_0450/00016_0443nm.npy
445,419.515629,423,34.551328,scan_blocks_output/B2_0411_0450/00017_0445nm.npy
447,420.894167,424,35.929865,scan_blocks_output/B2_0411_0450/00018_0447nm.npy
449,422.450638,425,37.486337,scan_blocks_output/B2_0411_0450/00019_0449nm.npy
