wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath
701,571.624981,575,0.000000,scan_blocks_output/B10_00701_1000_prueba/00000_0701nm.npy
703,571.548654,575,-0.076327,scan_blocks_output/B10_00701_1000_prueba/00001_0703nm.npy
705,498.809394,496,-72.815587,scan_blocks_output/B10_00701_1000_prueba/00002_0705nm.npy
707,498.948618,496,-72.676363,scan_blocks_output/B10_00701_1000_prueba/00003_0707nm.npy
709,499.133282,496,-72.491699,scan_blocks_output/B10_00701_1000_prueba/00004_0709nm.npy
711,499.245783,496,-72.379198,scan_blocks_output/B10_00701_1000_prueba/00005_0711nm.npy
713,499.519124,496,-72.105857,scan_blocks_output/B10_00701_1000_prueba/00006_0713nm.npy
715,499.563819,496,-72.061162,scan_blocks_output/B10_00701_1000_prueba/00007_0715nm.npy
717,499.697938,496,-71.927043,scan_blocks_output/B10_00701_1000_prueba/00008_0717nm.npy
719,499.779316,496,-71.845665,scan_blocks_output/B10_00701_1000_prueba/00009_0719nm.npy
721,499.908418,496,-71.716563,scan_blocks_output/B10_00701_1000_prueba/00010_0721nm.npy
723,500.018016,496,-71.606965,scan_blocks_output/B10_00701_1000_prueba/00011_0723nm.npy
725,500.239614,496,-71.385367,scan_blocks_output/B10_00701_1000_prueba/00012_0725nm.npy
727,500.258642,496,-71.366339,scan_blocks_output/B10_00701_1000_prueba/00013_0727nm.npy
729,500.395428,496,-71.229553,scan_blocks_output/B10_00701_1000_prueba/00014_0729nm.npy
731,500.468502,496,-71.156479,scan_blocks_output/B10_00701_1000_prueba/00015_0731nm.npy
733,500.616992,496,-71.007989,scan_blocks_output/B10_00701_1000_prueba/00016_0733nm.npy
735,500.627018,496,-70.997963,scan_blocks_output/B10_00701_1000_prueba/00017_0735nm.npy
737,500.834182,496,-70.790799,scan_blocks_output/B10_00701_1000_prueba/00018_0737nm.npy
739,500.884674,496,-70.740307,scan_blocks_output/B10_00701_1000_prueba/00019_0739nm.npy
741,500.964379,496,-70.660602,scan_blocks_output/B10_00701_1000_prueba/00020_0741nm.npy
743,501.080898,496,-70.544083,scan_blocks_output/B10_00701_1000_prueba/00021_0743nm.npy
745,501.115227,496,-70.509754,scan_blocks_output/B10_00701_1000_prueba/00022_0745nm.npy
747,501.183975,496,-70.441006,scan_blocks_output/B10_00701_1000_prueba/00023_0747nm.npy
749,501.223234,496,-70.401747,scan_blocks_output/B10_00701_1000_prueba/00024_0749nm.npy
751,501.351311,496,-70.273670,scan_blocks_output/B10_00701_1000_prueba/00025_0751nm.npy
753,501.395203,496,-70.229778,scan_blocks_output/B10_00701_1000_prueba/00026_0753nm.npy
755,501.462581,496,-70.162400,scan_blocks_output/B10_00701_1000_prueba/00027_0755nm.npy
757,501.514241,496,-70.110740,scan_blocks_output/B10_00701_1000_prueba/00028_0757nm.npy
759,501.620775,496,-70.004206,scan_blocks_output/B10_00701_1000_prueba/00029_0759nm.npy
761,501.632090,496,-69.992891,scan_blocks_output/B10_00701_1000_prueba/00030_0761nm.npy
763,501.767143,496,-69.857838,scan_blocks_output/B10_00701_1000_prueba/00031_0763nm.npy
765,501.850657,496,-69.774324,scan_blocks_output/B10_00701_1000_prueba/00032_0765nm.npy
767,501.956552,496,-69.668429,scan_blocks_output/B10_00701_1000_prueba/00033_0767nm.npy
769,502.007247,496,-69.617734,scan_blocks_output/B10_00701_1000_prueba/00034_0769nm.npy
771,502.133156,496,-69.491825,scan_blocks_output/B10_00701_1000_prueba/00035_0771nm.npy
773,502.305023,496,-69.319958,scan_blocks_output/B10_00701_1000_prueba/00036_0773nm.npy
775,502.364054,496,-69.260927,scan_blocks_output/B10_00701_1000_prueba/00037_0775nm.npy
777,502.536219,496,-69.088762,scan_blocks_output/B10_00701_1000_prueba/00038_0777nm.npy
779,502.648464,496,-68.976517,scan_blocks_output/B10_00701_1000_prueba/00039_0779nm.npy
781,502.746339,496,-68.878642,scan_blocks_output/B10_00701_1000_prueba/00040_0781nm.npy
783,502.788818,496,-68.836163,scan_blocks_output/B10_00701_1000_prueba/00041_0783nm.npy
785,502.751016,496,-68.873965,scan_blocks_output/B10_00701_1000_prueba/00042_0785nm.npy
787,502.894416,496,-68.730565,scan_blocks_output/B10_00701_1000_prueba/00043_0787nm.npy
789,503.000885,496,-68.624096,scan_blocks_output/B10_00701_1000_prueba/00044_0789nm.npy
791,503.207978,496,-68.417003,scan_blocks_output/B10_00701_1000_prueba/00045_0791nm.npy
793,503.220131,496,-68.404850,scan_blocks_output/B10_00701_1000_prueba/00046_0793nm.npy
795,503.166100,496,-68.458881,scan_blocks_output/B10_00701_1000_prueba/00047_0795nm.npy
797,503.197365,496,-68.427616,scan_blocks_output/B10_00701_1000_prueba/00048_0797nm.npy
799,503.132136,496,-68.492845,scan_blocks_output/B10_00701_1000_prueba/00049_0799nm.npy
801,565.764740,575,-5.860241,scan_blocks_output/B10_00701_1000_prueba/00050_0801nm.npy
801,503.125048,496,-68.499933,scan_blocks_output/B11_00701_1000_prueba/00000_0801nm.npy
803,565.907915,575,-5.717066,scan_blocks_output/B10_00701_1000_prueba/00051_0803nm.npy
803,503.102634,496,-68.522347,scan_blocks_output/B11_00701_1000_prueba/00001_0803nm.npy
805,565.961655,575,-5.663326,scan_blocks_output/B10_00701_1000_prueba/00052_0805nm.npy
805,496.865053,496,-74.759928,scan_blocks_output/B11_00701_1000_prueba/00002_0805nm.npy
807,566.166150,575,-5.458831,scan_blocks_output/B10_00701_1000_prueba/00053_0807nm.npy
807,496.810730,496,-74.814251,scan_blocks_output/B11_00701_1000_prueba/00003_0807nm.npy
809,566.215704,575,-5.409277,scan_blocks_output/B10_00701_1000_prueba/00054_0809nm.npy
809,496.741614,496,-74.883367,scan_blocks_output/B11_00701_1000_prueba/00004_0809nm.npy
811,566.394325,575,-5.230656,scan_blocks_output/B10_00701_1000_prueba/00055_0811nm.npy
811,496.676355,496,-74.948626,scan_blocks_output/B11_00701_1000_prueba/00005_0811nm.npy
813,566.537007,575,-5.087974,scan_blocks_output/B10_00701_1000_prueba/00056_0813nm.npy
813,496.754518,496,-74.870463,scan_blocks_output/B11_00701_1000_prueba/00006_0813nm.npy
815,566.696297,575,-4.928684,scan_blocks_output/B10_00701_1000_prueba/00057_0815nm.npy
815,496.750525,496,-74.874456,scan_blocks_output/B11_00701_1000_prueba/00007_0815nm.npy
817,566.866185,575,-4.758796,scan_blocks_output/B10_00701_1000_prueba/00058_0817nm.npy
817,496.672913,496,-74.952068,scan_blocks_output/B11_00701_1000_prueba/00008_0817nm.npy
819,567.066337,575,-4.558644,scan_blocks_output/B10_00701_1000_prueba/00059_0819nm.npy
819,496.828046,496,-74.796935,scan_blocks_output/B11_00701_1000_prueba/00009_0819nm.npy
821,567.389135,575,-4.235846,scan_blocks_output/B10_00701_1000_prueba/00060_0821nm.npy
821,496.688461,496,-74.936520,scan_blocks_output/B11_00701_1000_prueba/00010_0821nm.npy
823,567.967706,575,-3.657275,scan_blocks_output/B10_00701_1000_prueba/00061_0823nm.npy
823,496.799331,496,-74.825650,scan_blocks_output/B11_00701_1000_prueba/00011_0823nm.npy
825,567.861822,575,-3.763159,scan_blocks_output/B10_00701_1000_prueba/00062_0825nm.npy
825,496.699127,496,-74.925854,scan_blocks_output/B11_00701_1000_prueba/00012_0825nm.npy
827,569.977799,577,-1.647182,scan_blocks_output/B10_00701_1000_prueba/00063_0827nm.npy
827,496.787626,496,-74.837355,scan_blocks_output/B11_00701_1000_prueba/00013_0827nm.npy
829,568.722831,575,-2.902150,scan_blocks_output/B10_00701_1000_prueba/00064_0829nm.npy
829,496.826978,496,-74.798003,scan_blocks_output/B11_00701_1000_prueba/00014_0829nm.npy
831,569.040751,575,-2.584230,scan_blocks_output/B10_00701_1000_prueba/00065_0831nm.npy
831,496.727060,496,-74.897921,scan_blocks_output/B11_00701_1000_prueba/00015_0831nm.npy
833,570.665235,577,-0.959746,scan_blocks_output/B10_00701_1000_prueba/00066_0833nm.npy
833,496.745429,496,-74.879552,scan_blocks_output/B11_00701_1000_prueba/00016_0833nm.npy
835,569.633192,575,-1.991789,scan_blocks_output/B10_00701_1000_prueba/00067_0835nm.npy
835,496.870532,496,-74.754449,scan_blocks_output/B11_00701_1000_prueba/00017_0835nm.npy
837,569.719061,577,-1.905920,scan_blocks_output/B10_00701_1000_prueba/00068_0837nm.npy
837,496.660833,496,-74.964148,scan_blocks_output/B11_00701_1000_prueba/00018_0837nm.npy
839,568.274576,577,-3.350405,scan_blocks_output/B10_00701_1000_prueba/00069_0839nm.npy
839,496.715060,496,-74.909921,scan_blocks_output/B11_00701_1000_prueba/00019_0839nm.npy
841,568.154097,577,-3.470884,scan_blocks_output/B10_00701_1000_prueba/00070_0841nm.npy
841,496.666633,496,-74.958348,scan_blocks_output/B11_00701_1000_prueba/00020_0841nm.npy
843,568.959098,579,-2.665883,scan_blocks_output/B10_00701_1000_prueba/00071_0843nm.npy
843,496.772711,496,-74.852270,scan_blocks_output/B11_00701_1000_prueba/00021_0843nm.npy
845,567.588503,577,-4.036478,scan_blocks_output/B10_00701_1000_prueba/00072_0845nm.npy
845,496.686158,496,-74.938823,scan_blocks_output/B11_00701_1000_prueba/00022_0845nm.npy
847,567.053048,577,-4.571933,scan_blocks_output/B10_00701_1000_prueba/00073_0847nm.npy
847,496.720573,496,-74.904408,scan_blocks_output/B11_00701_1000_prueba/00023_0847nm.npy
849,568.561391,579,-3.063590,scan_blocks_output/B10_00701_1000_prueba/00074_0849nm.npy
849,496.764190,496,-74.860791,scan_blocks_output/B11_00701_1000_prueba/00024_0849nm.npy
851,569.053780,579,-2.571201,scan_blocks_output/B10_00701_1000_prueba/00075_0851nm.npy
851,496.747838,496,-74.877143,scan_blocks_output/B11_00701_1000_prueba/00025_0851nm.npy
853,570.022310,579,-1.602671,scan_blocks_output/B10_00701_1000_prueba/00076_0853nm.npy
853,496.919595,496,-74.705386,scan_blocks_output/B11_00701_1000_prueba/00026_0853nm.npy
855,570.553349,579,-1.071632,scan_blocks_output/B10_00701_1000_prueba/00077_0855nm.npy
855,496.727588,496,-74.897393,scan_blocks_output/B11_00701_1000_prueba/00027_0855nm.npy
857,575.018213,579,3.393232,scan_blocks_output/B10_00701_1000_prueba/00078_0857nm.npy
857,496.764729,496,-74.860252,scan_blocks_output/B11_00701_1000_prueba/00028_0857nm.npy
859,580.830170,579,9.205189,scan_blocks_output/B10_00701_1000_prueba/00079_0859nm.npy
859,496.797124,496,-74.827857,scan_blocks_output/B11_00701_1000_prueba/00029_0859nm.npy
861,581.055074,581,9.430093,scan_blocks_output/B10_00701_1000_prueba/00080_0861nm.npy
861,496.825381,496,-74.799600,scan_blocks_output/B11_00701_1000_prueba/00030_0861nm.npy
863,581.207867,581,9.582886,scan_blocks_output/B10_00701_1000_prueba/00081_0863nm.npy
863,496.811257,496,-74.813724,scan_blocks_output/B11_00701_1000_prueba/00031_0863nm.npy
865,581.497064,582,9.872083,scan_blocks_output/B10_00701_1000_prueba/00082_0865nm.npy
865,496.835919,496,-74.789062,scan_blocks_output/B11_00701_1000_prueba/00032_0865nm.npy
867,581.786270,582,10.161289,scan_blocks_output/B10_00701_1000_prueba/00083_0867nm.npy
867,496.753301,496,-74.871680,scan_blocks_output/B11_00701_1000_prueba/00033_0867nm.npy
869,581.971768,582,10.346787,scan_blocks_output/B10_00701_1000_prueba/00084_0869nm.npy
869,496.657804,496,-74.967177,scan_blocks_output/B11_00701_1000_prueba/00034_0869nm.npy
871,582.252574,582,10.627593,scan_blocks_output/B10_00701_1000_prueba/00085_0871nm.npy
871,496.695850,496,-74.929131,scan_blocks_output/B11_00701_1000_prueba/00035_0871nm.npy
873,582.337516,582,10.712535,scan_blocks_output/B10_00701_1000_prueba/00086_0873nm.npy
873,496.800882,496,-74.824099,scan_blocks_output/B11_00701_1000_prueba/00036_0873nm.npy
875,582.447635,582,10.822654,scan_blocks_output/B10_00701_1000_prueba/00087_0875nm.npy
875,496.572148,496,-75.052833,scan_blocks_output/B11_00701_1000_prueba/00037_0875nm.npy
877,582.607690,582,10.982709,scan_blocks_output/B10_00701_1000_prueba/00088_0877nm.npy
877,496.700971,496,-74.924010,scan_blocks_output/B11_00701_1000_prueba/00038_0877nm.npy
879,582.883790,582,11.258809,scan_blocks_output/B10_00701_1000_prueba/00089_0879nm.npy
879,496.656245,496,-74.968736,scan_blocks_output/B11_00701_1000_prueba/00039_0879nm.npy
881,583.005832,583,11.380851,scan_blocks_output/B10_00701_1000_prueba/00090_0881nm.npy
881,496.771988,496,-74.852993,scan_blocks_output/B11_00701_1000_prueba/00040_0881nm.npy
883,583.110547,582,11.485566,scan_blocks_output/B10_00701_1000_prueba/00091_0883nm.npy
883,496.778693,496,-74.846288,scan_blocks_output/B11_00701_1000_prueba/00041_0883nm.npy
885,583.405190,583,11.780209,scan_blocks_output/B10_00701_1000_prueba/00092_0885nm.npy
885,496.819811,496,-74.805170,scan_blocks_output/B11_00701_1000_prueba/00042_0885nm.npy
887,583.676430,583,12.051449,scan_blocks_output/B10_00701_1000_prueba/00093_0887nm.npy
887,496.834707,496,-74.790274,scan_blocks_output/B11_00701_1000_prueba/00043_0887nm.npy
889,583.776462,583,12.151481,scan_blocks_output/B10_00701_1000_prueba/00094_0889nm.npy
889,496.829057,496,-74.795924,scan_blocks_output/B11_00701_1000_prueba/00044_0889nm.npy
891,583.903911,583,12.278930,scan_blocks_output/B10_00701_1000_prueba/00095_0891nm.npy
